"Metric","Completeness"
"Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.",1
"Foreign.direct.investment..net.inflows....of.GDP.",1
"GDP..current.US..",1
"GNI..current.US..",1
"Gross.national.expenditure....of.GDP.",1
"Mobile.cellular.subscriptions",0.989285714285714
"Mobile.cellular.subscriptions..per.100.people.",0.989285714285714
"Individuals.using.the.Internet....of.population.",0.988095238095238
"Access.to.electricity....of.population.",0.985714285714286
"Access.to.electricity..urban....of.urban.population.",0.985714285714286
"Adjusted.savings..net.national.savings....of.GNI.",0.985714285714286
"Employers..total....of.total.employment...modeled.ILO.estimate.",0.985714285714286
"Foreign.direct.investment..net..BoP..current.US..",0.985714285714286
"Labor.force..female....of.total.labor.force.",0.985714285714286
"Urban.population....of.total.population.",0.985714285714286
"Urban.population.growth..annual...",0.985714285714286
"Compulsory.education..duration..years.",0.98452380952381
"Access.to.electricity..rural....of.rural.population.",0.983333333333333
"Fixed.broadband.subscriptions",0.983333333333333
"Fixed.broadband.subscriptions..per.100.people.",0.983333333333333
"Computer..communications.and.other.services....of.commercial.service.exports.",0.970238095238095
"Computer..communications.and.other.services....of.commercial.service.imports.",0.970238095238095
"Adjusted.net.national.income..current.US..",0.966666666666667
"Communications..computer..etc.....of.service.imports..BoP.",0.964285714285714
"Cost.of.business.start.up.procedures....of.GNI.per.capita.",0.953571428571429
"GNI..constant.2015.US..",0.946428571428571
"Labor.force.participation.rate.for.ages.15.24..total......national.estimate.",0.930952380952381
"Adjusted.net.national.income.per.capita..annual...growth.",0.927380952380952
"Employment.to.population.ratio..ages.15.24..total......national.estimate.",0.925
"Gini.index",0.923809523809524
"Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.",0.923809523809524
"Poverty.gap.at..2.15.a.day..2017.PPP.....",0.923809523809524
"Labor.force.with.basic.education....of.total.working.age.population.with.basic.education.",0.910714285714286
"Labor.force.with.advanced.education....of.total.working.age.population.with.advanced.education.",0.904761904761905
"School.enrollment..tertiary....gross.",0.873809523809524
"School.enrollment..primary.and.secondary..gross...gender.parity.index..GPI.",0.86547619047619
"Educational.attainment..at.least.completed.lower.secondary..population.25...total......cumulative.",0.844047619047619
"International.tourism..expenditures..current.US..",0.832142857142857
"Secure.Internet.servers",0.821428571428571
"Secure.Internet.servers..per.1.million.people.",0.821428571428571
"Primary.completion.rate..total....of.relevant.age.group.",0.776190476190476
"Adolescents.out.of.school....of.lower.secondary.school.age.",0.747619047619048
"Individuals.using.the.Internet..female....of.female.population.",0.74047619047619
"Individuals.using.the.Internet..male....of.male.population.",0.74047619047619
